MKOA WA SIMIYU,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Seng'wa,52,Iyogelo,,0.9,1,,,4.0,2.0,6.0,68,3,71
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Seng'wa,53,Kabale,,0.8,,1,,4.0,3.0,7.0,120,7,127
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Seng'wa,54,Gaga,,2.5,1,,,4.0,2.0,6.0,66,6,72
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Seng'wa,55,Kabale Mashariki,,0.0,,1,,4.0,2.0,6.0,100,4,104
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Seng'wa,56,Kitangili,,0.0,,1,,4.0,3.0,7.0,102,10,112
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Mwabomba,57,Mwabomba,,0.5,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Mwabomba,58,Ishingwandama,,0.9,1,,,4.0,2.0,6.0,115,5,120
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Mwabomba,59,Sagenge,,0.0,1,,,3.0,2.0,5.0,84,4,88
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Mwabomba,60,Ntulizi,,1.9,1,,,3.0,2.0,5.0,75,3,78
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Mwanundi,61,Mwanundi,,1.0,1,,,3.0,2.0,5.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Mwanundi,62,Malula,,1.4,1,,,4.0,2.0,6.0,50,3,53
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Manawa,63,Manawa,,3.2,,1,,4.0,2.0,6.0,98,5,103
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Manawa,64,Nyashimba,,0.0,1,,,4.0,2.0,6.0,96,4,100
Simiyu,Maswa,Maswa DC,Maswa Magharibi,Seng'wa,Manawa,65,Nyamikoma,,1.9,1,,,3.0,2.0,5.0,54,4,58
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Lalago,Lalago,66,Jinikulu,,0.3,1,,,4.0,2.0,6.0,70,8,78
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Lalago,Lalago,67,Nyamhimbi,,3.8,1,,,4.0,2.0,6.0,85,3,88
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Lalago,Gula,68,Mwalyagwa,,4.5,1,,,3.0,2.0,5.0,73,5,78
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Lalago,Gula,69,Gugayambelele,,1.5,,,,4.0,2.0,6.0,90,3,93
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Lalago,Mwakidiga,70,Bahebe,,3.5,1,,,4.0,3.0,7.0,140,4,144
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Lalago,Mwakidiga,71,Mahushi,,4.0,,1,,4.0,3.0,7.0,180,6,186
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Mbaragane,72,Majebele Mlimani,,0.0,1,,,3.0,2.0,5.0,88,5,93
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Mbaragane,73,Ng'waghuni,,0.5,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Mandang'ombe,74,Kabondo,,3.0,1,,,4.0,2.0,6.0,100,3,103
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Mandang'ombe,75,Bukunanguki,,4.3,1,,,4.0,2.0,6.0,110,6,116
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Sulu,76,Sulu C (Mwalugesha),,4.1,1,,,4.0,2.0,6.0,124,6,130
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Sulu,77,Misheni,,2.2,1,,,4.0,2.0,6.0,90,5,95
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Mlimani,78,Nyasubi,,3.0,1,,,3.0,2.0,5.0,80,5,85
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Mlimani,79,Salala,,2.0,1,,,4.0,2.0,6.0,90,5,95
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Buhangija,80,Buhangija,,3.0,1,,,4.0,2.0,6.0,130,8,138
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mbaragane,Buhangija,81,Buzinzili,,4.6,1,,,4.0,2.0,6.0,75,4,79
