MKOA WA KILIMANJARO ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Mbatakero,1,Kinamiri ,,0.0,2,,,2.8,1.2,4.0,80,2,82
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Mbatakero,2,Kinamiri ,,1.4,,,,2.8,1.2,4.0,90,2,92
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Mbatakero,3,Kwambesere,,1.0,2,,,2.1,0.9,3.0,50,2,52
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Mbatakero,4,Kwambesere,,1.0,,,,3.5,1.5,5.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Mbatakero,5,Mlimafaru,,0.0,,,,4.2,1.8,6.0,120,2,122
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Longoi,6,Nguzo Moja,,1.3,1,,,4.2,1.8,6.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Longoi,7,Relini,,1.4,1,,,2.8,1.2,4.0,76,2,78
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Longoi,8,Kirima,,1.7,1,,,4.2,1.8,6.0,135,2,137
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Longoi,9,Mbuyuni,,0.5,1,,,4.2,1.8,6.0,74,2,76
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Kikavu Chini,10,Upareni,,0.0,1,,,5.6,2.4,8.0,75,2,77
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Kikavu Chini,11,Land,,3.5,1,,,2.8,1.2,4.0,60,2,62
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Kikavu Chini,12,Ngosero,,0.0,,,,2.1,0.9,3.0,50,2,52
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Ngosero,13,Ngosero,,0.4,1,,,4.2,1.8,6.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Ngosero,14,Madukani,,0.7,1,,,4.2,1.8,6.0,120,2,122
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Ngosero,15,Jitengeni,,1.0,1,,,4.2,1.8,6.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Ngosero,16,Land,,2.0,1,,,2.8,1.2,4.0,76,2,78
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Ngosero,17,Kinyalu,,2.0,1,,,4.2,1.8,6.0,74,2,76
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Ngosero,18,Kiangaa,,1.8,1,,,2.8,1.2,4.0,135,2,137
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Kwatito,19,Bwawani,,1.0,2,,,2.8,1.2,4.0,74,2,76
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Kwatito,20,Kasendero,,0.7,1,,,4.2,1.8,6.0,75,2,77
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Kwatito,21,Juhudi,,2.0,1,,,4.2,1.8,6.0,80,2,82
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Shirimigungani,22,Bondeni,,0.8,1,,,3.5,1.5,5.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Weruweru,Shirimigungani,23,Makowo,,2.1,1,,,2.1,0.9,3.0,50,2,52
Kilimanjaro,Hai,Hai DC,Hai,Masama Mashariki,Saawe,24,Makowo,,0.8,1,,,4.2,1.8,6.0,76,2,78
Kilimanjaro,Hai,Hai DC,Hai,Masama Mashariki,Saawe,25,Nkwamakuu,,0.8,2,,,3.5,1.5,5.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Masama Kusini,Mungushi,26,Nkwamakuu,,0.0,,,,6.3,2.7,9.0,135,2,137
Kilimanjaro,Hai,Hai DC,Hai,Masama Kusini,Mungushi,27,Matouwo,,1.0,2,,,2.8,1.2,4.0,40,2,42
Kilimanjaro,Hai,Hai DC,Hai,Masama Kusini,Kwasadala,28,Matouwo,,0.5,,,,4.2,1.8,6.0,74,2,76
Kilimanjaro,Hai,Hai DC,Hai,Masama Kusini,Nkwansira,29,Tamaya,,1.4,1,,,6.3,2.7,9.0,80,2,82
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Chekimaji,30,Jitengeni,,3.8,1,,,4.2,1.8,6.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Chekimaji,31,Magadini,,0.5,1,,,2.8,1.2,4.0,70,2,72
