MKOA WA KIGOMA,,,,,,,,Scope of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,70,Kalinzi,,0.6,1,,,1.0,2.0,3.0,65,2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,71,Kibuye,,0.0,1,,,1.0,2.0,3.0,102,1,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,72,Kaduha,,0.5,1,,,1.0,2.0,3.0,253,4,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,73,Kavumu B,,0.0,,,,1.0,2.0,3.0,85,1,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,74,Kavumu A,,0.4,1,,,1.0,2.0,3.0,105,2,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Rumashi,75,Kavumu C,,0.0,1,,,1.0,2.0,3.0,98,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,76,Kitamo A,,1.2,1,,,1.0,2.0,3.0,78,1,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,77,Kitamo B,,0.0,,1,,1.0,2.0,3.0,105,2,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,78,Rugongo A,,0.0,1,,,1.0,2.0,3.0,98,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,79,Rugongo B,,0.0,1,,,1.0,2.0,3.0,125,1,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,80,Burembo,,0.0,1,,,1.0,2.0,3.0,65,2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
