MKOA WA RUVUMA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Lusonga,171,Matalawe,,0.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Lusonga,172,Toronto,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Lusonga,173,Mambosasa,,0.8,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Lusonga,174,Mahumbika,,0.9,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Magagula,Lusonga,175,Mapinduzi,,2.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Kizuka,176,Lihekwa,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Kizuka,177,Ruvuma,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Kizuka,178,Kihuga,,3.6,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Kizuka,179,Ulamboni,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Kizuka,180,Njoka juu,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,181,Lukilimila,,12.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,182,Mapinduzi,,1.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,183,Muungano,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,184,Mbugani,,0.4,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,185,Majengo,,0.7,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,186,Ushirika,,0.3,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,187,Njoomlole,,0.0,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,188,Sogea,,0.5,1,,,1.0,1.5,2.5,38,2,40
Ruvuma,Songea,Songea DC,Peramiho,Kizuka,Ngahokora,189,Songambele,,0.0,1,,,1.0,1.5,2.5,38,2,40
