MKOA WA IRINGA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low voltage Lines (km),,,Initial customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11KV,33KV,50,100,200,4 x 95 sq.mm,4 x 50 sq.mm,LV Total (km),single phase,Three phase,Total
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Tagamenda,98,Ikalagasi,,0.6,1,,,1.2,1.8,3.0,44,2,46
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Tagamenda,99,Lufita,,0.0,1,,,1.2,1.8,3.0,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Ikuvilo,100,Mdukwee,,1.3,1,,,1.2,1.8,3.0,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Ikuvilo,101,Makongoma,,3.1,1,,,1.2,1.8,3.0,47,2,49
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Ikuvilo,102,Lugala,,0.4,1,,,1.1,1.7,2.8,44,2,46
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Ikuvilo,103,Ngelewala,,1.4,1,,,1.2,1.9,3.1,41,2,43
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Ikuvilo,104,Imalinyi,,1.9,1,,,1.2,1.8,3.0,35,2,37
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Ikuvilo,105,Kidodi,,0.0,1,,,1.2,1.8,3.0,41,2,43
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Nyabula,106,Luhanga,,2.4,1,,,1.1,1.6,2.7,24,1,25
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Nyabula,107,Malendi,,2.6,1,,,1.2,1.8,3.0,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Nyabula,108,Ukang'a,,0.7,1,,,0.6,0.9,1.5,16,1,17
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Nyabula,109,Udinda,,1.6,1,,,1.1,1.6,2.7,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Kilambo,110,Lusaula,,0.6,1,,,1.4,2.2,3.6,45,2,47
Iringa,Iringa,Iringa DC,Kalenga,Luhota,Kilambo,111,Mseke B,,2.0,1,,,0.8,1.2,2.0,34,2,36
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Ikungwe,112,Makanyagio,,0.0,1,,,1.3,1.9,3.2,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Ikungwe,113,Mkunzi,,0.0,1,,,1.6,2.4,4.0,57,3,60
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Ulata,114,Ngonamwasi,,4.5,1,,,1.6,2.3,3.9,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Ulata,115,Ulata,,4.8,1,,,1.5,2.2,3.7,45,2,47
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Ihomasa,116,Lupande,,1.1,1,,,0.8,1.2,2.0,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Ihomasa,117,Mungano,,0.0,,,,1.2,1.8,3.0,35,2,37
