MKOA WA MBEYA ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Ibungila,59,Kagwina,1.8,,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Ibungila,60,Kabembe,0.6,,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Malindo,Ibungila,61,Mibanga,0.6,,0,1,0,2.9,1.9,4.9,95,2,97
Mbeya,Rungwe,Rungwe DC,Rungwe,Lufingo,Itete,62,Kasanda,,1.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lufingo,Kagwina,63,Masebe ,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lufingo,Kagwina,64,Kandete,,1.7,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lufingo,Simike,65,Majombo,,0.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lufingo,Simike,66,Kasanga,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Swaya,67,Itala,,3.7,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Swaya,68,Itala B,,1.2,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Ishinga,69,Iduda ,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Ishinga,70,Ivanga,,1.9,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Ishinga,71,Mbinza,,3.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Malangali,72,Tanga,,1.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Malangali,73,Nsita,,1.9,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Malangali,74,Takanyambi,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Isebelo,75,Ipandanye,,1.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Isebelo,76,Nyayola,,1.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Swaya,Isebelo,77,Nyasanga,,2.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kipande,78,Ilala,0.7,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kipande,79,Chunya,1.4,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kipande,80,Igwila,0.0,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kipande,81,Mbeswe,2.8,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kipande,82,Kilambo,1.1,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kisoko,83,Ngeke,0.6,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kisoko,84,Mete,1.0,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kisoko,85,Ilunga,,2.1,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Kisoko,86,Salima,1.6,,0,1,0,2.8,1.8,4.6,90,2,92
