Kagera, Bukoba, Kaibanja, Kaibanja 
Kagera, Bukoba, Kaibanja, Kiijongo 
Kagera, Bukoba, Kaibanja, Nyakigando 
Kagera, Bukoba, Kasharu, Butainamwa 
Kagera, Bukoba, Kasharu, Kasharu 
Kagera, Bukoba, Kasharu, Kabajuga 
Kagera, Bukoba, Kishogo, Kashule 
Kagera, Bukoba, Kishogo, Kishogo 
Kagera, Bukoba, Kishogo, Ntoija 
Kagera, Muleba, Muhutwe, Bisore 
Kagera, Muleba, Muhutwe, Nyakashenye 
Kagera, Muleba, Muhutwe, Bukoki 
Kagera, Muleba, Muhutwe, Kangantebe 
Kagera, Muleba, Mayondwe, Mayondwe 
Kagera, Muleba, Mayondwe, Bugasha 
Kagera, Muleba, Goziba, Goziba 
Kagera, Muleba, Kerebe, Makibwa 
Kagera, Muleba, Kerebe, Kerebe 
Kagera, Muleba, Bumbire, Kitua 
Kagera, Muleba, Bumbire, Mahaiga 
Kagera, Muleba, Bumbire, Nyaburo 
Kagera, Muleba, Bumbire, Kinagi 
Kagera, Muleba, Bumbire, Iroba 
Kagera, Muleba, Ikuza, Ikuza 
Kagera, Muleba, Ikuza, Kasenyi 
Kagera, Muleba, Izigo, Itoju 
Kagera, Muleba, Izigo, Kabare 
Kagera, Muleba, Izigo, Izigo 
Kagera, Muleba, Katoke, Bwarushanje 
Kagera, Muleba, Katoke, Bushumba 
Kagera, Muleba, Katoke, Katoke 
Kagera, Muleba, Katoke, Kimbugu B 
Kagera, Muleba, Katoke, Kimbugu A 
Kagera, Muleba, Katoke, Kahumulo 
Kagera, Muleba, Kagoma, Kagoma 
Kagera, Muleba, Kagoma, Muyenje 
Kagera, Muleba, Kagoma, Buhaya 
Kagera, Muleba, Kikuku, Bigaga 
Kagera, Muleba, Kikuku, Nsisha 
Kagera, Muleba, Kikuku, Rwazi 
Kagera, Muleba, Kikuku, Rwanganilo 
Kagera, Muleba, Kikuku, Kikuku 
Kagera, Muleba, Bureza, Butembo 
Kagera, Muleba, Bureza, Kiholele 
Kagera, Muleba, Bureza, Bureza 
Kagera, Muleba, Bureza, Makarwe 
Kagera, Muleba, Muleba, Muleba 
Kagera, Muleba, Muleba, Tukutuku 
Kagera, Muleba, Ikondo, Ikondo 
Kagera, Muleba, Ikondo, Bumpande 
Kagera, Muleba, Ikondo, Kamishango 
Kagera, Muleba, Buhangaza, Kashenge 
Kagera, Muleba, Buhangaza, Buhangaza 
Kagera, Muleba, Buhangaza, Buyaga 
Kagera, Muleba, Mazinga, Rubili 
Kagera, Muleba, Mazinga, Iramba 
Kagera, Muleba, Mazinga, Mazinga 
Kagera, Muleba, Magata (Karutanga), Magata 
Kagera, Muleba, Magata (Karutanga), Katanga 
Kagera, Muleba, Magata (Karutanga), Karutanga 
